20:59:00.099,3663,3664,30,35
21:00:00.286,3664,3665,83,14
21:00:00.534,3664,3665,104,13
21:00:00.782,3665,3666,24,14
21:00:01.034,3665,3666,44,6
21:00:01.285,3665,3666,71,49
21:00:01.535,3665,3666,159,9
21:00:01.784,3666,3667,33,47
21:00:02.035,3666,3667,18,67
21:00:02.283,3666,3667,2,102
21:00:02.522,3665,3666,200,2
21:00:02.776,3665,3666,182,8
21:00:03.022,3665,3666,187,18
21:00:03.282,3665,3667,182,117
21:00:03.499,3665,3666,178,18
21:00:03.772,3665,3666,178,33
21:00:04.035,3665,3666,177,27
21:00:04.283,3665,3666,144,5
21:00:04.533,3665,3667,135,110
21:00:04.780,3666,3667,1,119
21:00:05.035,3665,3666,118,2
21:00:05.266,3665,3666,117,5
21:00:05.534,3665,3666,118,6
21:00:05.781,3665,3666,108,13
21:00:06.010,3665,3666,107,28
21:00:06.275,3665,3666,109,35
21:00:06.532,3665,3666,108,100
21:00:06.773,3665,3666,73,106
21:00:07.030,3665,3666,71,120
21:00:07.284,3665,3666,77,113
21:00:07.519,3665,3666,97,110
21:00:07.782,3665,3666,60,118
21:00:08.020,3665,3666,54,119
21:00:08.271,3665,3666,49,138
21:00:08.534,3665,3666,46,140
21:00:08.767,3665,3666,46,141
21:00:09.023,3665,3666,44,152
21:00:09.270,3665,3666,42,152
21:00:09.534,3665,3666,34,147
21:00:09.780,3664,3665,117,36
21:00:10.011,3664,3665,167,7
21:00:10.283,3665,3666,29,155
21:00:10.498,3665,3666,24,155
21:00:10.772,3664,3666,187,154
21:00:10.997,3665,3666,3,163
21:00:11.285,3665,3666,3,162
21:00:11.533,3665,3666,8,169
21:00:11.771,3665,3666,6,162
21:00:12.016,3665,3666,5,162
21:00:12.267,3665,3666,11,167
21:00:12.508,3665,3666,8,167
21:00:12.778,3665,3666,20,73
21:00:13.035,3665,3666,20,73
21:00:13.266,3665,3666,12,68
21:00:13.474,3665,3666,5,66
21:00:13.775,3665,3666,15,75
21:00:13.946,3665,3666,16,73
21:00:14.283,3665,3666,13,70
21:00:14.520,3665,3666,15,71
21:00:14.783,3665,3666,15,82
21:00:15.035,3665,3666,15,81
21:00:15.283,3665,3666,14,79
21:00:15.498,3665,3666,21,14
21:00:15.777,3666,3667,12,121
21:00:16.002,3666,3667,13,116
21:00:16.268,3666,3667,8,116
21:00:16.508,3666,3667,5,113
